,0
0,age
1,wt
2,RxCUI_32915
3,RxCUI_312078
4,RxCUI_1551649;4018;
5,RxCUI_643720
6,RxCUI_799047
7,RxCUI_1232086
8,RxCUI_835564
9,RxCUI_197770
10,RxCUI_898719
11,RxCUI_309593
12,RxCUI_283810
13,RxCUI_854244
14,RxCUI_722122
15,RxCUI_855633
16,RxCUI_1799461
17,RxCUI_312773
18,RxCUI_1545666
19,RxCUI_1037179
20,RxCUI_722116
21,RxCUI_214199;724851;
22,RxCUI_904431
23,RxCUI_200031
24,RxCUI_1658460;1756279;
25,RxCUI_200345
26,RxCUI_849449
27,RxCUI_856664
28,RxCUI_6218
29,RxCUI_203189
30,RxCUI_199322
31,RxCUI_312138
32,RxCUI_197448
33,RxCUI_309960
34,RxCUI_393400
35,RxCUI_1649485
36,RxCUI_643712
37,RxCUI_1369734
38,RxCUI_603206
39,RxCUI_1307303
40,RxCUI_642452
41,RxCUI_28889
42,RxCUI_311372
43,RxCUI_1117562
44,RxCUI_60548
45,RxCUI_327148
46,RxCUI_317174
47,RxCUI_198471
48,RxCUI_310965
49,RxCUI_866924
50,RxCUI_311787
51,RxCUI_235379
52,RxCUI_197581
53,RxCUI_978010
54,RxCUI_349332
55,RxCUI_1928948
56,RxCUI_835603
57,RxCUI_104894
58,RxCUI_310671
59,RxCUI_198242
60,RxCUI_199885
61,RxCUI_836647
62,RxCUI_856373
63,RxCUI_992689
64,RxCUI_197901
65,RxCUI_343048
66,RxCUI_402131
67,RxCUI_197550
68,RxCUI_310488
69,RxCUI_311354
70,RxCUI_484348
71,RxCUI_236486
72,RxCUI_861819
73,RxCUI_859747
74,RxCUI_859751
75,RxCUI_1049584;1860137;
76,RxCUI_1428947
77,RxCUI_197320
78,RxCUI_198466
79,RxCUI_402014
80,RxCUI_236058
81,RxCUI_3992
82,RxCUI_1020476
83,RxCUI_197807
84,RxCUI_828299
85,RxCUI_833036
86,RxCUI_1300706
87,RxCUI_349201
88,RxCUI_309362
89,RxCUI_617311
90,RxCUI_259966;762675;889678;
91,RxCUI_349405
92,RxCUI_403855;465331;
93,RxCUI_312950
94,RxCUI_1808549;1808552;
95,RxCUI_30145
96,RxCUI_84375
97,RxCUI_9344
98,RxCUI_1243046
99,RxCUI_1193339
100,RxCUI_476556
101,RxCUI_728223
102,RxCUI_602910
103,RxCUI_602912
104,RxCUI_1100702
105,RxCUI_197932
106,RxCUI_1601380
107,RxCUI_310380
108,RxCUI_1865663
109,RxCUI_891878;892582;
110,RxCUI_197454
111,RxCUI_310429
112,RxCUI_351250
113,RxCUI_198014
114,RxCUI_433733
115,RxCUI_1049621;1876750;
116,RxCUI_312086
117,RxCUI_313161
118,RxCUI_1551468
119,RxCUI_1012895
120,RxCUI_11404
121,RxCUI_1116635
122,RxCUI_197361
123,RxCUI_197499
124,RxCUI_861964
125,RxCUI_1551782
126,RxCUI_1232082
127,RxCUI_3407
128,RxCUI_1303097
129,RxCUI_861010
130,RxCUI_1373471
131,RxCUI_855657
132,RxCUI_1366550
133,RxCUI_200033
134,RxCUI_897683
135,RxCUI_86009
136,RxCUI_197318
137,RxCUI_1604348
138,RxCUI_283809
139,RxCUI_197445
140,RxCUI_991060
141,RxCUI_991086
142,RxCUI_746606
143,RxCUI_56946
144,RxCUI_1442137
145,RxCUI_197591
146,RxCUI_75207
147,RxCUI_1793882
148,RxCUI_104463
149,RxCUI_155036
150,RxCUI_1369726
151,RxCUI_1805425
152,RxCUI_198232
153,RxCUI_310434
154,RxCUI_349373
155,RxCUI_198369
156,RxCUI_834348
157,RxCUI_351249
158,RxCUI_867508
159,RxCUI_1660194
160,RxCUI_313988
161,RxCUI_476673
162,RxCUI_1484088;995277;
163,RxCUI_197902
164,RxCUI_198006
165,RxCUI_314200
166,RxCUI_198222
167,RxCUI_730872
168,RxCUI_1598985
169,RxCUI_200082
170,RxCUI_597730
171,RxCUI_900575
172,RxCUI_298665
173,RxCUI_1376336
174,RxCUI_1490038
175,RxCUI_1492744
176,RxCUI_246172
177,RxCUI_1658343
178,RxCUI_897021
179,RxCUI_199592
180,RxCUI_203217
181,RxCUI_308135
182,RxCUI_314077
183,RxCUI_1482525
184,RxCUI_483325
185,RxCUI_308805
186,RxCUI_1658331
187,RxCUI_106101
188,RxCUI_1439808
189,RxCUI_403930
190,RxCUI_403879
191,RxCUI_867502
192,RxCUI_672149
193,RxCUI_6387
194,RxCUI_330797
195,RxCUI_50121
196,RxCUI_859052
197,RxCUI_452004
198,RxCUI_855818
199,RxCUI_259255
200,RxCUI_197931
201,RxCUI_1594757
202,RxCUI_1021645;312617;763179;763181;
203,RxCUI_11203
204,RxCUI_48933
205,RxCUI_200390
206,RxCUI_1606349
207,RxCUI_859424
208,RxCUI_9863
209,RxCUI_1591943
210,RxCUI_1484916
211,RxCUI_597722
212,RxCUI_1374567
213,RxCUI_1544473
214,RxCUI_199521
215,RxCUI_664741
216,RxCUI_901048
217,RxCUI_905283
218,RxCUI_283562
219,RxCUI_197322
220,RxCUI_9899
221,RxCUI_1126066
222,RxCUI_7407
223,RxCUI_1011739
224,RxCUI_274964
225,RxCUI_1113314
226,RxCUI_205324
227,RxCUI_1011753
228,RxCUI_835827
229,RxCUI_235355
230,RxCUI_686379
231,RxCUI_312941
232,RxCUI_197529
233,RxCUI_1876766;856377;
234,RxCUI_475968
235,RxCUI_866910
236,RxCUI_40144
237,RxCUI_200224
238,RxCUI_855172
239,RxCUI_199498
240,RxCUI_596933
241,RxCUI_260218
242,RxCUI_359229
243,RxCUI_1874559;1875050;790288;
244,RxCUI_387013
245,RxCUI_324044
246,RxCUI_351267
247,RxCUI_1088936
248,RxCUI_221078
249,RxCUI_1091497
250,RxCUI_485465
251,RxCUI_724863
252,RxCUI_197944
253,RxCUI_854905
254,RxCUI_1086784
255,RxCUI_993691
256,RxCUI_312849
257,RxCUI_235830
258,RxCUI_1014676
259,RxCUI_1190110
260,RxCUI_1926852
261,RxCUI_1049270
262,RxCUI_197941
263,RxCUI_197942
264,RxCUI_1918042
265,RxCUI_200064
266,RxCUI_1489109
267,RxCUI_993557
268,RxCUI_1424890
269,RxCUI_314208
270,RxCUI_476677
271,RxCUI_1148399
272,RxCUI_9601
273,RxCUI_308194
274,RxCUI_1790527
275,RxCUI_883826
276,RxCUI_857702
277,RxCUI_28200
278,RxCUI_834022
279,RxCUI_314659;9877;
280,RxCUI_235483
281,RxCUI_197732
282,RxCUI_284245
283,RxCUI_311668
284,RxCUI_1654024;330620;
285,RxCUI_1087459
286,RxCUI_197392
287,RxCUI_32675
288,RxCUI_309632
289,RxCUI_312529
290,RxCUI_861200
291,RxCUI_1607796
292,RxCUI_643066
293,RxCUI_203192
294,RxCUI_636676
295,RxCUI_997501
296,RxCUI_198372
297,RxCUI_904481
298,RxCUI_198150
299,RxCUI_1868018
300,RxCUI_858036
301,RxCUI_602393
302,RxCUI_1369730
303,RxCUI_197311
304,RxCUI_1804993
305,RxCUI_1362
306,RxCUI_77655
307,RxCUI_199224
308,RxCUI_349251
309,RxCUI_1656354
310,RxCUI_313586
311,RxCUI_603853
312,RxCUI_429212
313,RxCUI_199147
314,RxCUI_692695
315,RxCUI_831054
316,RxCUI_198365
317,RxCUI_904159
318,RxCUI_603208
319,RxCUI_603203
320,RxCUI_1001404
321,RxCUI_1736852
322,RxCUI_1601388
323,RxCUI_283671
324,RxCUI_998755
325,RxCUI_198334
326,RxCUI_346209
327,RxCUI_2837
328,RxCUI_313222
329,RxCUI_203172
330,RxCUI_597772
331,RxCUI_352376
332,RxCUI_866412
333,RxCUI_602964
334,RxCUI_328388
335,RxCUI_1098637;198145;763183;763185;
336,RxCUI_312615
337,RxCUI_197845
338,RxCUI_349490
339,RxCUI_1309342
340,RxCUI_1364496
341,RxCUI_1357541
342,RxCUI_200371
343,RxCUI_152695
344,RxCUI_828348
345,RxCUI_833234
346,RxCUI_314229
347,RxCUI_808748
348,RxCUI_310005
349,RxCUI_316317
350,RxCUI_1874553;1875033;790264;
351,RxCUI_577033
352,RxCUI_898715
353,RxCUI_204844
354,RxCUI_485442
355,RxCUI_845515
356,RxCUI_311041
357,RxCUI_312961
358,RxCUI_1547104
359,RxCUI_4083
360,RxCUI_1944989;725094;
361,RxCUI_221147
362,RxCUI_1442986
363,RxCUI_1650965
364,RxCUI_854856
365,RxCUI_1114198
366,RxCUI_81944
367,RxCUI_831102
368,RxCUI_197321
369,RxCUI_1364445
370,RxCUI_1367086
371,RxCUI_636522
372,RxCUI_315720
373,RxCUI_891885;891888;892672;
374,RxCUI_1099569
375,RxCUI_1310533
376,RxCUI_1242806
377,RxCUI_349556
378,RxCUI_1927688
379,RxCUI_856903
380,RxCUI_1331
381,RxCUI_1490026
382,RxCUI_349547
383,RxCUI_640062
384,RxCUI_1373483
385,RxCUI_1373491
386,RxCUI_197391
387,RxCUI_349401
388,RxCUI_353538
